id,hair_color_r1,hair_color_r2,hair_color_g1,hair_color_g2,hair_color_b1,hair_color_b2,hair_toon_color_r1,hair_toon_color_r2,hair_toon_color_g1,hair_toon_color_g2,hair_toon_color_b1,hair_toon_color_b2,mayu_color_r1,mayu_color_r2,mayu_color_g1,mayu_color_g2,mayu_color_b1,mayu_color_b2,mayu_toon_color_r1,mayu_toon_color_r2,mayu_toon_color_g1,mayu_toon_color_g2,mayu_toon_color_b1,mayu_toon_color_b2,eye_color_r1,eye_color_r2,eye_color_g1,eye_color_g2,eye_color_b1,eye_color_b2,tail_color_r1,tail_color_r2,tail_color_g1,tail_color_g2,tail_color_b1,tail_color_b2,tail_toon_color_r1,tail_toon_color_r2,tail_toon_color_g1,tail_toon_color_g2,tail_toon_color_b1,tail_toon_color_b2
9149,#06102B,#ADAAFF,#E7E189,#E7E189,#FC9795,#E7E189,#0E1D43,#7D7BAB,#C0AA67,#C0AA67,#C37877,#C0AA67,#FFFFFF,#FFFFFF,#FFFFFF,#332D1C,#C0AA67,#B29E60,#FFFFFF,#FFFFFF,#FFFFFF,#332D1C,#C0AA67,#B29E60,#362D40,#8D7DC2,#D3D0D8,#291246,#484455,#6B41BD,#E6E4CF,#FFFFFF,#FFFFFF,#917BC0,#FFFFFF,#E7E189,#E6E4CF,#FFFFFF,#FFFFFF,#917BC0,#FFFFFF,#C0AA67
9150,#9BA7A8,#B71B19,#4F2831,#400A0A,#CAAAA3,#4F2831,#7C8A93,#711211,#340D1C,#020101,#5E504D,#340D1C,#FFFFFF,#FFFFFF,#FFFFFF,#330C1B,#340D1C,#801F44,#FFFFFF,#FFFFFF,#FFFFFF,#330C1B,#340D1C,#801F44,#2F0B40,#982EC2,#D8D6D8,#444346,#4C3055,#916FBD,#E6CFD4,#FFFFFF,#FFFFFF,#272134,#FFFFFF,#4F2831,#E6CFD4,#FFFFFF,#FFFFFF,#272134,#FFFFFF,#340D1C
9151,#909090,#FF0000,#909090,#909090,#0B7600,#909090,#6F6F6F,#B00000,#6F6F6F,#6F6F6F,#074B00,#6F6F6F,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#6F6F6F,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#6F6F6F,#808080,#D8D5FF,#577EFF,#593DFF,#9C65FF,#2851FF,#2D2BFF,#E6CFCF,#FFFFFF,#FFFFFF,#54476F,#FFFFFF,#909090,#E6CFCF,#FFFFFF,#FFFFFF,#54476F,#FFFFFF,#6F6F6F
9152,#434343,#AB0719,#6D3484,#6D3484,#FFFFFF,#6D3484,#0A0A0A,#6C000B,#482457,#482457,#9F9F9F,#482457,#FFFFFF,#FFFFFF,#FFFFFF,#2A1533,#482457,#6A3580,#FFFFFF,#FFFFFF,#FFFFFF,#2A1533,#482457,#6A3580,#CCC4C5,#CC6868,#CC4E82,#CC298B,#B24988,#C34D3E,#DFCFE6,#FFFFFF,#FFFFFF,#423857,#FFFFFF,#6D3484,#DFCFE6,#FFFFFF,#FFFFFF,#423857,#FFFFFF,#482457
9153,#B7336E,#C0FFB8,#FFC4E6,#FFC4E6,#F8FF77,#FFC4E6,#842550,#88B284,#C59BB4,#C59BB4,#AEB24E,#C59BB4,#FFFFFF,#FFFFFF,#FFFFFF,#33282F,#C59BB4,#B28CA3,#FFFFFF,#FFFFFF,#FFFFFF,#33282F,#C59BB4,#B28CA3,#98A8CC,#575AD4,#237CCC,#2A2DE5,#9C9FCC,#5F39CC,#E6CFDC,#FFFFFF,#FFFFFF,#957EC5,#FFFFFF,#FFC4E6,#E6CFDC,#FFFFFF,#FFFFFF,#957EC5,#FFFFFF,#C59BB4
9154,#0021FF,#D44821,#3C3C3C,#3C3C3C,#636363,#523660,#011284,#A63F22,#000000,#000000,#2E2E2E,#2E1F35,#FFFFFF,#FFFFFF,#FFFFFF,#2C1E33,#2E1F35,#6F4B80,#FFFFFF,#FFFFFF,#FFFFFF,#2C1E33,#2E1F35,#6F4B80,#2D42CC,#3D6DCC,#CACACC,#68A7CC,#492FCC,#25B8CC,#DECFE6,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#523660,#DECFE6,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#2E1F35
9155,#FFFFFF,#262626,#FFFFFF,#0C00AB,#DBBD20,#D1D1D1,#989898,#000000,#D9D9D9,#080065,#937F1A,#787878,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#787878,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#787878,#808080,#080A09,#2DB959,#27A155,#13671E,#C5D9C9,#34895E,#E6CFCF,#FFFFFF,#FFFFFF,#5B4D78,#FFFFFF,#D1D1D1,#E6CFCF,#FFFFFF,#FFFFFF,#5B4D78,#FFFFFF,#787878
9156,#129C61,#932986,#7F9580,#4FBC78,#FFFFFF,#466553,#345E47,#80006F,#4F6C58,#3F955B,#BCBCBC,#31483D,#FFFFFF,#FFFFFF,#FFFFFF,#23332B,#31483D,#57806B,#FFFFFF,#FFFFFF,#FFFFFF,#23332B,#31483D,#57806B,#612144,#61485C,#FDBCFF,#741B76,#614F5B,#612551,#CFE6D8,#FFFFFF,#FFFFFF,#372E48,#FFFFFF,#466553,#CFE6D8,#FFFFFF,#FFFFFF,#372E48,#FFFFFF,#31483D
9157,#F80000,#EEFF00,#4E0663,#4E0663,#FFFFFF,#293048,#820000,#99A400,#2D023A,#2D023A,#A1A1A1,#1A1D2B,#FFFFFF,#FFFFFF,#FFFFFF,#1F2233,#1A1D2B,#4D5680,#FFFFFF,#FFFFFF,#FFFFFF,#1F2233,#1A1D2B,#4D5680,#C37BCA,#BFB7C3,#8E51D4,#8477C3,#B1A9CA,#D451D1,#CFD4E6,#FFFFFF,#FFFFFF,#201C2B,#FFFFFF,#293048,#CFD4E6,#FFFFFF,#FFFFFF,#201C2B,#FFFFFF,#1A1D2B
9158,#FF0000,#373737,#FFFAA0,#FFFFFF,#FFFFFF,#9C1B00,#930000,#1F1F1F,#ADAB6E,#FFFFFF,#B7B7B7,#5E1303,#FFFFFF,#FFFFFF,#FFFFFF,#330A02,#5E1303,#801904,#FFFFFF,#FFFFFF,#FFFFFF,#330A02,#5E1303,#801904,#ECE8FF,#3438FF,#B8A7FF,#7E67FF,#7829FF,#A585FF,#E6D2CF,#FFFFFF,#FFFFFF,#473C5E,#FFFFFF,#9C1B00,#E6D2CF,#FFFFFF,#FFFFFF,#473C5E,#FFFFFF,#5E1303
9159,#A4A4A4,#DDDDDD,#FFFFFF,#FFFFFF,#FF0000,#FFFFFF,#5B5B5B,#6F6F6F,#BCBCBC,#A6A6A6,#8C0000,#C0C0C0,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#C0C0C0,#B2B2B2,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#C0C0C0,#B2B2B2,#CA338B,#BC8BA9,#D14876,#CA4D5A,#CCCACC,#CC71B8,#E6CFCF,#FFFFFF,#FFFFFF,#917BC0,#FFFFFF,#FFFFFF,#E6CFCF,#FFFFFF,#FFFFFF,#917BC0,#FFFFFF,#C0C0C0
9160,#FFFFFF,#73E0D8,#FFDEC2,#FFDEC2,#73E0D8,#FFDEC2,#808080,#3A8298,#BEA997,#BEA997,#3A8298,#BEA997,#FFFFFF,#FFFFFF,#FFFFFF,#332D29,#BEA997,#B29F8E,#FFFFFF,#FFFFFF,#FFFFFF,#332D29,#BEA997,#B29F8E,#B0EB90,#97B961,#4CAF56,#1C8E25,#1B522F,#286E36,#E6D9CF,#FFFFFF,#FFFFFF,#8F7ABE,#FFFFFF,#FFDEC2,#E6D9CF,#FFFFFF,#FFFFFF,#8F7ABE,#FFFFFF,#BEA997
9161,#BFC3C9,#965D4B,#C5B37C,#612512,#41320E,#B49D57,#8788A9,#612512,#A88553,#2E0B08,#2B2C00,#8B6939,#FFFFFF,#FFFFFF,#FFFFFF,#332615,#8B6939,#8B6939,#FFFFFF,#FFFFFF,#FFFFFF,#332615,#8B6939,#8B6939,#403422,#C2AA7A,#D8923E,#46390F,#55250F,#BD3728,#E6E0CF,#FFFFFF,#FFFFFF,#69598B,#FFFFFF,#B49D57,#E6E0CF,#FFFFFF,#FFFFFF,#69598B,#FFFFFF,#8B6939
9162,#1B6230,#43A4CF,#486F52,#B4DCBE,#DB4847,#46544A,#103622,#2253A1,#396763,#73A4A9,#A73547,#2F3C3C,#FFFFFF,#FFFFFF,#FFFFFF,#283333,#2F3C3C,#638080,#FFFFFF,#FFFFFF,#FFFFFF,#283333,#2F3C3C,#638080,#223A40,#569DC2,#D2D8D8,#2D4346,#395455,#1DBBBD,#CFE6D6,#FFFFFF,#FFFFFF,#2D263C,#FFFFFF,#46544A,#CFE6D6,#FFFFFF,#FFFFFF,#2D263C,#FFFFFF,#2F3C3C
9163,#8CE9A5,#55906A,#4F303F,#858986,#256965,#4F303F,#5C9BC6,#223971,#341128,#666F69,#132550,#341128,#FFFFFF,#FFFFFF,#FFFFFF,#331127,#341128,#802962,#FFFFFF,#FFFFFF,#FFFFFF,#331127,#341128,#802962,#40362E,#C29E99,#D89844,#46141A,#552F16,#BD5442,#E6CFDA,#FFFFFF,#FFFFFF,#282234,#FFFFFF,#4F303F,#E6CFDA,#FFFFFF,#FFFFFF,#282234,#FFFFFF,#341128
9164,#B7BFEC,#A1461E,#CDCFD9,#3F4045,#A1461E,#8C8C8C,#64657B,#742B1C,#9F9AAD,#191A30,#742B1C,#77726D,#FFFFFF,#FFFFFF,#FFFFFF,#33312F,#77726D,#807A75,#FFFFFF,#FFFFFF,#FFFFFF,#33312F,#77726D,#807A75,#403936,#C2A19B,#D89B5C,#462F10,#55120E,#BD2E3A,#E6CFCF,#FFFFFF,#FFFFFF,#5A4C77,#FFFFFF,#8C8C8C,#E6CFCF,#FFFFFF,#FFFFFF,#5A4C77,#FFFFFF,#77726D
9165,#54787B,#523B38,#B8311F,#DC9598,#A5EDF4,#C65A21,#384062,#381D1D,#811420,#B16890,#78A5D3,#982E1C,#FFFFFF,#FFFFFF,#FFFFFF,#330F09,#982E1C,#982E1C,#FFFFFF,#FFFFFF,#FFFFFF,#330F09,#982E1C,#982E1C,#112B40,#6381C2,#92C5D8,#434546,#0F1F55,#20A0BD,#E6D6CF,#FFFFFF,#FFFFFF,#736198,#FFFFFF,#C65A21,#E6D6CF,#FFFFFF,#FFFFFF,#736198,#FFFFFF,#982E1C
9166,#554E37,#162A55,#5D7693,#BCA02C,#BCAD85,#33404F,#3C4015,#1B1B2B,#3E576C,#789137,#A16D69,#0E1E3A,#FFFFFF,#FFFFFF,#FFFFFF,#0C1A33,#0E1E3A,#1F4280,#FFFFFF,#FFFFFF,#FFFFFF,#0C1A33,#0E1E3A,#1F4280,#0E1840,#625EC2,#BEBCD8,#190B46,#4B4355,#4F35BD,#CFD9E6,#FFFFFF,#FFFFFF,#2C253A,#FFFFFF,#33404F,#CFD9E6,#FFFFFF,#FFFFFF,#2C253A,#FFFFFF,#0E1E3A
9167,#A05968,#8C2B40,#6A5C5C,#1C98A3,#0C4642,#59252C,#7D434E,#591F33,#634C42,#38538A,#082B16,#300315,#FFFFFF,#FFFFFF,#FFFFFF,#330316,#300315,#800838,#FFFFFF,#FFFFFF,#FFFFFF,#330316,#300315,#800838,#2A1540,#B2AEC2,#A853D8,#3A3446,#340D55,#4A4BBD,#E6CFD2,#FFFFFF,#FFFFFF,#241F30,#FFFFFF,#59252C,#E6CFD2,#FFFFFF,#FFFFFF,#241F30,#FFFFFF,#300315
9168,#F85BAE,#6DF7A4,#652556,#573547,#F796CD,#652556,#A55399,#84C8C5,#110912,#3C1431,#9960DE,#110912,#FFFFFF,#FFFFFF,#FFFFFF,#301A33,#110912,#784080,#FFFFFF,#FFFFFF,#FFFFFF,#301A33,#110912,#784080,#351113,#A94526,#C79589,#403533,#522F10,#AD4850,#E6CFE0,#FFFFFF,#FFFFFF,#0E0C12,#FFFFFF,#652556,#E6CFE0,#FFFFFF,#FFFFFF,#0E0C12,#FFFFFF,#110912
9169,#9C68CF,#9C9C9C,#524142,#808080,#8C183A,#524142,#9C68CF,#B4536B,#352525,#808080,#663076,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#350C19,#A9405B,#C7B6B6,#402C34,#521538,#AD266E,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9170,#2C494E,#9B9D9E,#64BFD1,#70D5E9,#1A7E92,#64BFD1,#2F524B,#7E8489,#3C72A4,#3F91B0,#3E4F77,#3C72A4,#FFFFFF,#FFFFFF,#FFFFFF,#132333,#3C72A4,#3C72A4,#FFFFFF,#FFFFFF,#FFFFFF,#132333,#3C72A4,#3C72A4,#352D23,#A9A7A4,#C7BF6F,#40330C,#525241,#AD841C,#CFE2E6,#FFFFFF,#FFFFFF,#7C69A4,#FFFFFF,#64BFD1,#CFE2E6,#FFFFFF,#FFFFFF,#7C69A4,#FFFFFF,#3C72A4
9171,#9C68CF,#5F7881,#524142,#808080,#813336,#524142,#9C68CF,#364E64,#352525,#808080,#5B2324,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352333,#A95594,#C793B5,#3A1540,#524E51,#AD297A,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9172,#9C68CF,#793A3D,#524142,#808080,#F7F7F7,#524142,#9C68CF,#542729,#352525,#808080,#C5D3B9,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352319,#A95C33,#C79A7E,#402F29,#523B13,#AD906F,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9173,#9C68CF,#86D9B5,#524142,#808080,#8C183A,#524142,#9C68CF,#5A73B6,#352525,#808080,#65133A,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#353034,#A94B9D,#C783B0,#401325,#4C0E52,#AD2CA2,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9174,#9C68CF,#6E231B,#524142,#808080,#E27165,#524142,#9C68CF,#3E0F12,#352525,#808080,#B95C51,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352830,#A98193,#C765AE,#40121F,#521044,#AD4456,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9175,#9C68CF,#B2944B,#524142,#808080,#8C183A,#524142,#9C68CF,#89602F,#352525,#808080,#541525,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9176,#859445,#3B4922,#633694,#C1EB55,#383349,#9287B0,#2D6547,#06331E,#3C265B,#5CC06D,#18163C,#525D8C,#FFFFFF,#FFFFFF,#FFFFFF,#1E2233,#525D8C,#525D8C,#FFFFFF,#FFFFFF,#FFFFFF,#1E2233,#525D8C,#525D8C,#1C1135,#4626A9,#C5C4C7,#332E40,#170C52,#4F54AD,#D4CFE6,#FFFFFF,#FFFFFF,#6A5A8C,#FFFFFF,#9287B0,#D4CFE6,#FFFFFF,#FFFFFF,#6A5A8C,#FFFFFF,#525D8C
9177,#436C95,#956F54,#8FDCFE,#54332F,#2F4595,#95712A,#115974,#7F4450,#5697C4,#3A1718,#333256,#66401D,#FFFFFF,#FFFFFF,#FFFFFF,#33200F,#66401D,#804F25,#FFFFFF,#FFFFFF,#FFFFFF,#33200F,#66401D,#804F25,#343532,#99A94F,#C1C7B8,#3B400C,#3D522E,#92AD20,#E6DECF,#FFFFFF,#FFFFFF,#4D4266,#FFFFFF,#95712A,#E6DECF,#FFFFFF,#FFFFFF,#4D4266,#FFFFFF,#66401D
9178,#585A54,#C3C0CF,#8AC324,#341E5A,#445A10,#7E61AE,#33452A,#8984B1,#2F9D3A,#191120,#0C2711,#4A3B7E,#FFFFFF,#FFFFFF,#FFFFFF,#1E1833,#4A3B7E,#4B3C80,#FFFFFF,#FFFFFF,#FFFFFF,#1E1833,#4A3B7E,#4B3C80,#231035,#8A50A9,#4523C7,#383640,#4A0F52,#897DAD,#D7CFE6,#FFFFFF,#FFFFFF,#5F507E,#FFFFFF,#7E61AE,#D7CFE6,#FFFFFF,#FFFFFF,#5F507E,#FFFFFF,#4A3B7E
9179,#9C68CF,#C34876,#524142,#808080,#9D184A,#524142,#9C68CF,#843562,#352525,#808080,#4B173A,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#35202A,#A987A0,#AB467E,#40102A,#520D4D,#AD219A,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9180,#D4EB91,#9EA38F,#5B5663,#476316,#95B830,#434E30,#CFC178,#748466,#293153,#112F19,#318552,#0F3724,#FFFFFF,#FFFFFF,#FFFFFF,#0E3321,#0F3724,#228054,#FFFFFF,#FFFFFF,#FFFFFF,#0E3321,#0F3724,#228054,#35250F,#A99F8B,#C7753D,#403F3E,#52450C,#AD3627,#DDE6CF,#FFFFFF,#FFFFFF,#2A2337,#FFFFFF,#434E30,#DDE6CF,#FFFFFF,#FFFFFF,#2A2337,#FFFFFF,#0F3724
9181,#735765,#783457,#EB5269,#EB2D5E,#54785E,#EB5269,#4F3050,#581D47,#A94164,#972F6C,#324F5E,#A94164,#FFFFFF,#FFFFFF,#FFFFFF,#33141E,#A94164,#A94164,#FFFFFF,#FFFFFF,#FFFFFF,#33141E,#A94164,#A94164,#35302B,#A97C3E,#C7B89C,#402311,#523E0E,#ADA129,#E6CFD2,#FFFFFF,#FFFFFF,#806CA9,#FFFFFF,#EB5269,#E6CFD2,#FFFFFF,#FFFFFF,#806CA9,#FFFFFF,#A94164
9182,#9C68CF,#509AD6,#524142,#808080,#EDB868,#524142,#9C68CF,#3E6EAB,#352525,#808080,#C47E48,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#35312F,#A96424,#C7B488,#40370A,#524A27,#AD4834,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9183,#9C68CF,#30B9E5,#524142,#808080,#902069,#524142,#9C68CF,#4674BD,#352525,#808080,#461554,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#351A27,#A98FA1,#C752B6,#403F40,#521033,#AD1A7A,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9184,#474439,#F8F5C9,#493F18,#8C8B85,#433FBD,#BDBA57,#303219,#EAE9AE,#2F3402,#76736F,#423377,#95823B,#FFFFFF,#FFFFFF,#FFFFFF,#332D14,#95823B,#95823B,#FFFFFF,#FFFFFF,#FFFFFF,#332D14,#95823B,#95823B,#35251B,#A9792E,#C7B7B4,#402D0B,#52131D,#AD4B5F,#E6E5CF,#FFFFFF,#FFFFFF,#705F95,#FFFFFF,#BDBA57,#E6E5CF,#FFFFFF,#FFFFFF,#705F95,#FFFFFF,#95823B
9185,#DE4B47,#C8D9DE,#6B7272,#510F0D,#3FC1C3,#6B7272,#AB3545,#A1AECB,#3E5055,#0C0607,#5B80A1,#3E5055,#FFFFFF,#FFFFFF,#FFFFFF,#253033,#3E5055,#5D7880,#FFFFFF,#FFFFFF,#FFFFFF,#253033,#3E5055,#5D7880,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#CFE6E6,#FFFFFF,#FFFFFF,#403655,#FFFFFF,#6B7272,#CFE6E6,#FFFFFF,#FFFFFF,#403655,#FFFFFF,#3E5055
9186,#D1C6DD,#3E324C,#484D45,#D6C8DF,#DEE9D2,#A6D770,#8789B1,#11143C,#1E3527,#8D88B2,#B3D5D9,#5EA669,#FFFFFF,#FFFFFF,#FFFFFF,#1D3320,#5EA669,#5EA669,#FFFFFF,#FFFFFF,#FFFFFF,#1D3320,#5EA669,#5EA669,#351412,#A93B43,#C7A4A0,#403E3E,#521432,#AD2B8A,#DAE6CF,#FFFFFF,#FFFFFF,#7D6AA6,#FFFFFF,#A6D770,#DAE6CF,#FFFFFF,#FFFFFF,#7D6AA6,#FFFFFF,#5EA669
9187,#9C68CF,#D74C24,#524142,#808080,#8C183A,#524142,#9C68CF,#A2232B,#352525,#808080,#461554,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#351E1C,#A92E3A,#C7605A,#400F0E,#524F4F,#ADAAAB,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9188,#9C68CF,#D07A31,#524142,#808080,#D0CD62,#524142,#9C68CF,#A1492C,#352525,#808080,#A89345,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352A1F,#A9765C,#C7C3C3,#402C0C,#521810,#AD5C1C,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9189,#219442,#395942,#946E84,#751A42,#87B293,#E55EAE,#1F5F59,#173448,#6B3E71,#220C1D,#5A8397,#92508C,#FFFFFF,#FFFFFF,#FFFFFF,#331C31,#92508C,#92508C,#FFFFFF,#FFFFFF,#FFFFFF,#331C31,#92508C,#92508C,#350A26,#A93F6A,#C77EA4,#402337,#524C50,#AD1F38,#E6CFDC,#FFFFFF,#FFFFFF,#6E5E92,#FFFFFF,#E55EAE,#E6CFDC,#FFFFFF,#FFFFFF,#6E5E92,#FFFFFF,#92508C
9190,#9C68CF,#D7337E,#524142,#808080,#CBD7D0,#524142,#9C68CF,#863672,#352525,#808080,#8DA5AB,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#2E2535,#9A8CA9,#B050C7,#270D40,#452352,#711FAD,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
10001,#7E3F2B,#F7A055,#F7E0D3,#83716B,#40342D,#DD5228,#582C1D,#C96B4B,#F8CACD,#654D55,#271714,#A8262D,#FFFFFF,#FFFFFF,#FFFFFF,#330C0E,#A8262D,#A8262D,#FFFFFF,#FFFFFF,#FFFFFF,#330C0E,#A8262D,#A8262D,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6D4CF,#FFFFFF,#FFFFFF,#7F6CA8,#FFFFFF,#DD5228,#E6D4CF,#FFFFFF,#FFFFFF,#7F6CA8,#FFFFFF,#A8262D
10002,#C39FAC,#ECDC89,#FAEDD5,#808080,#494DD4,#FAEBCE,#CAA3B0,#E59F66,#D7986B,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FAEBCE,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
10003,#B0828A,#461F2E,#B3244F,#831B1A,#B98D92,#B94C68,#8E547B,#2B071B,#5F1F47,#3E0D1E,#975D82,#943B50,#FFFFFF,#FFFFFF,#FFFFFF,#33141B,#943B50,#943B50,#FFFFFF,#FFFFFF,#FFFFFF,#33141B,#943B50,#943B50,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD4,#FFFFFF,#FFFFFF,#705F94,#FFFFFF,#B94C68,#E6CFD4,#FFFFFF,#FFFFFF,#705F94,#FFFFFF,#943B50
10004,#36717A,#DA815F,#7A1717,#6C1900,#7A3131,#7A1717,#202761,#AE5940,#350B19,#5C4A50,#552221,#350B19,#FFFFFF,#FFFFFF,#FFFFFF,#330A18,#350B19,#801A3D,#FFFFFF,#FFFFFF,#FFFFFF,#330A18,#350B19,#801A3D,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#7A1717,#E6CFCF,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#350B19
10005,#D94D6B,#BC9AA3,#AB5653,#801648,#371C1A,#844240,#9B3D63,#9B7983,#663331,#2E0F27,#1E090B,#5E2F2D,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#5E2F2D,#80403C,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#5E2F2D,#80403C,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#473C5E,#FFFFFF,#844240,#E6CFCF,#FFFFFF,#FFFFFF,#473C5E,#FFFFFF,#5E2F2D
10008,#BAD9D2,#2292BC,#C08E79,#801F20,#1B372B,#773E3A,#7A93A7,#2F5493,#A25E71,#390F1E,#23341F,#522A27,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#522A27,#80423C,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#522A27,#80423C,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D0CF,#FFFFFF,#FFFFFF,#3E3452,#FFFFFF,#773E3A,#E6D0CF,#FFFFFF,#FFFFFF,#3E3452,#FFFFFF,#522A27
10009,#58281B,#D18540,#585756,#583C0D,#580F11,#743423,#3F0A08,#A35438,#4A3644,#2A1606,#110308,#4D2317,#FFFFFF,#FFFFFF,#FFFFFF,#33170F,#4D2317,#803A25,#FFFFFF,#FFFFFF,#FFFFFF,#33170F,#4D2317,#803A25,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D3CF,#FFFFFF,#FFFFFF,#3B324D,#FFFFFF,#743423,#E6D3CF,#FFFFFF,#FFFFFF,#3B324D,#FFFFFF,#4D2317
