id,color_r1,color_r2,color_g1,color_g2,color_b1,color_b2,toon_color_r1,toon_color_r2,toon_color_g1,toon_color_g2,toon_color_b1,toon_color_b2
8347,#D7DE72,#A1372F,#F0B370,#F08E86,#D7DE72,#D7DE72,#B6AB53,#6E1F26,#C37641,#C96673,#B6AB53,#B6AB53
8348,#68B366,#5260B8,#FFE7CB,#A7B2FC,#68B366,#68B366,#3C8D95,#454074,#FABBAD,#7877BE,#3C8D95,#3C8D95
8349,#EAB3CE,#FFE7CB,#EA6AB8,#EAB3CE,#EAB3CE,#EAB3CE,#A47FC8,#FABBAD,#CA44B5,#A47FC8,#A47FC8,#A47FC8
8350,#99d2d9,#EEF0F3,#f0b370,#99d2d9,#99d2d9,#99d2d9,#8fa8e0,#A49FD2,#c37641,#8fa8e0,#8fa8e0,#8fa8e0
8351,#6C3875,#FFE7CB,#FFE7CB,#6D7E89,#6C3875,#6C3875,#2C1A53,#FABBAD,#FABBAD,#3D526C,#2C1A53,#2C1A53
8352,#3e3638,#ffebd9,#ffebd9,#6c3875,#6c3875,#3e3638,#30101f,#ffbebe,#ffbebe,#511960,#511960,#30101f
8353,#e9ecf0,#a1372f,#ffe1bb,#99d2d9,#99d2d9,#e9ecf0,#c3b7d9,#702111,#f7b39e,#8fa8e0,#8fa8e0,#c3b7d9
8354,#A1372F,#FFE7CB,#A11B29,#EAB3CE,#EAB3CE,#A1372F,#6E1F26,#FABBAD,#591132,#A47FC8,#A47FC8,#6E1F26
8355,#5260B8,#68B366,#68B366,#68B366,#68B366,#5260B8,#454074,#3C8D95,#3C8D95,#3C8D95,#3C8D95,#454074
8356,#D7DE72,#FFE1BB,#786E3E,#D7DE72,#D7DE72,#D7DE72,#B6AB53,#F7B39E,#616227,#B6AB53,#B6AB53,#B6AB53
8357,#68b366,#ffe7cb,#ffe7cb,#5260b8,#5260b8,#68b366,#258b76,#d78bce,#fabbad,#4f408d,#4f408d,#258b76
8358,#eab3ce,#ffe1bb,#ffe1bb,#a1372f,#a1372f,#eab3ce,#d78bce,#f7b39e,#f7b39e,#702111,#702111,#d78bce
8359,#99d2d9,#6c3875,#f0b370,#e9ecf0,#e9ecf0,#99d2d9,#8fa8e0,#511960,#c37641,#c3b7d9,#c3b7d9,#8fa8e0
8360,#6C3875,#3E3638,#531C75,#3E3638,#3E3638,#6C3875,#2C1A53,#291A25,#29123D,#291A25,#291A25,#2C1A53
8361,#3E3638,#A1372F,#861D37,#3E3638,#3E3638,#3E3638,#291A25,#6E1F26,#321124,#291A25,#291A25,#291A25
8362,#E9ECF0,#F0B370,#7199CF,#E9ECF0,#E9ECF0,#E9ECF0,#C0DCDA,#C37641,#485D91,#C0DCDA,#C0DCDA,#C0DCDA
8363,#A1372F,#D7DE72,#695575,#6C3875,#6C3875,#A1372F,#6E1F26,#B6AB53,#322F52,#2C1A53,#2C1A53,#6E1F26
8364,#5260B8,#FFEBD9,#FFEBD9,#7733FA,#8C58F0,#5260B8,#454074,#FFBEBE,#FFBEBE,#5436C5,#6A4EB7,#454074
8365,#d7de72,#ffe7cb,#ffe7cb,#eab3ce,#eab3ce,#d7de72,#e3ae6c,#fabbad,#fabbad,#d78bce,#d78bce,#e3ae6c
8366,#68b366,#f0b370,#f0b370,#68b366,#68b366,#68b366,#258b76,#c37641,#c37641,#258b76,#258b76,#258b76
8367,#EAB3CE,#FFEBD9,#DBDE27,#D7DE72,#D7DE72,#EAB3CE,#A47FC8,#FFBEBE,#D1B342,#B6AB53,#B6AB53,#A47FC8
8368,#5C622C,#3E3638,#FFE1BB,#5260B8,#5260B8,#B9C658,#13441E,#291A25,#F7B39E,#454074,#454074,#579449
8369,#6c3875,#ffebd9,#ffebd9,#a1372f,#a1372f,#6c3875,#511960,#ffbebe,#ffbebe,#702111,#702111,#511960
8370,#3E3638,#5260B8,#787B7C,#E9ECF0,#E9ECF0,#3E3638,#291A25,#454074,#48525F,#C0DCDA,#C0DCDA,#291A25
8371,#E9ECF0,#D7DE72,#78797C,#3E3638,#3E3638,#E9ECF0,#C0DCDA,#B6AB53,#48485F,#291A25,#291A25,#C0DCDA
8372,#A1372F,#FFE7CB,#855956,#A1372F,#A1372F,#A1372F,#6E1F26,#FABBAD,#633348,#6E1F26,#6E1F26,#6E1F26
8373,#5260B8,#FFE7CB,#4B4E5C,#5260B8,#5260B8,#5260B8,#454074,#FABBAD,#27344E,#454074,#454074,#454074
8374,#D7DE72,#FFE7CB,#DED239,#6C3875,#6C3875,#D7DE72,#B6AB53,#FABBAD,#CBA853,#2C1A53,#2C1A53,#B6AB53
8375,#68b366,#ffebd9,#ffebd9,#99d2d9,#99d2d9,#68b366,#258b76,#ffbebe,#ffbebe,#8fa8e0,#8fa8e0,#258b76
8376,#eab3ce,#3e3638,#ffe1bb,#eab3ce,#eab3ce,#eab3ce,#d78bce,#30101f,#f7b39e,#d78bce,#d78bce,#d78bce
8377,#99d2d9,#e9ecf0,#ffe7cb,#68b366,#68b366,#99d2d9,#8fa8e0,#c3b7d9,#fabbad,#258b76,#258b76,#8fa8e0
8378,#6C3875,#FFE7CB,#902BA2,#D7DE72,#D7DE72,#6C3875,#2C1A53,#FABBAD,#482B6A,#B6AB53,#B6AB53,#2C1A53
8379,#3e3638,#f0b370,#f0b370,#5260b8,#5260b8,#3e3638,#30101f,#c37641,#c37641,#4f408d,#4f408d,#30101f
8380,#E9ECF0,#68B366,#26B33A,#A1372F,#A1372F,#E9ECF0,#C0DCDA,#3C8D95,#2A8576,#6E1F26,#6E1F26,#C0DCDA
8381,#a1372f,#eab3ce,#ffe1bb,#e9ecf0,#e9ecf0,#a1372f,#702111,#d78bce,#f7b39e,#c3b7d9,#c3b7d9,#702111
8382,#5260B8,#99D2D9,#253154,#3E3638,#3E3638,#5260B8,#454074,#6486AC,#24232B,#291A25,#291A25,#454074
8383,#D7DE72,#6C3875,#FFE1BB,#6C3875,#D7DE72,#D7DE72,#B6AB53,#2C1A53,#F7B39E,#2C1A53,#B6AB53,#B6AB53
8384,#68B366,#3E3638,#365E3E,#68B366,#68B366,#68B366,#3C8D95,#291A25,#163446,#3C8D95,#3C8D95,#3C8D95
8385,#EAB3CE,#E9ECF0,#631471,#6C3875,#6C3875,#EAB3CE,#A47FC8,#C0DCDA,#25123B,#2C1A53,#2C1A53,#A47FC8
8386,#99d2d9,#f0b370,#f0b370,#99d2d9,#99d2d9,#99d2d9,#8fa8e0,#c37641,#c37641,#8fa8e0,#8fa8e0,#8fa8e0
8387,#6C3875,#FFE7CB,#3C1343,#EAB3CE,#EAB3CE,#6C3875,#2C1A53,#FABBAD,#0A0709,#A47FC8,#A47FC8,#2C1A53
8388,#3E3638,#68B366,#2D4426,#68B366,#68B366,#3E3638,#291A25,#3C8D95,#0A2D2B,#3C8D95,#3C8D95,#291A25
8389,#E9ECF0,#FFE1BB,#777952,#D7DE72,#D7DE72,#E9ECF0,#C0DCDA,#F7B39E,#566337,#B6AB53,#B6AB53,#C0DCDA
8390,#a1372f,#ffe1bb,#ffe1bb,#5260b8,#5260b8,#a1372f,#702111,#f7b39e,#f7b39e,#4f408d,#4f408d,#702111
8391,#5260b8,#6c3875,#f0b370,#a1372f,#a1372f,#5260b8,#4f408d,#511960,#c37641,#702111,#702111,#4f408d
8392,#D7DE72,#3E3638,#747678,#E9ECF0,#E9ECF0,#D7DE72,#B6AB53,#291A25,#444A5B,#C0DCDA,#C0DCDA,#B6AB53
8393,#68b366,#e9ecf0,#ffe7cb,#3e3638,#3e3638,#68b366,#258b76,#c3b7d9,#fabbad,#30101f,#30101f,#258b76
8394,#eab3ce,#f0b370,#f0b370,#eab3ce,#eab3ce,#eab3ce,#d78bce,#c37641,#c37641,#d78bce,#d78bce,#d78bce
8395,#99D2D9,#CD919A,#F0B370,#CD919A,#99D2D9,#99D2D9,#6486AC,#A2648D,#C37641,#A2648D,#6486AC,#6486AC
8396,#6C3875,#D7DE72,#5D1575,#6C3875,#6C3875,#6C3875,#2C1A53,#B6AB53,#24133F,#2C1A53,#2C1A53,#2C1A53
8397,#3E3638,#F0B370,#56707A,#99D2D9,#99D2D9,#3E3638,#291A25,#C37641,#2D475E,#6486AC,#6486AC,#291A25
8398,#E9ECF0,#EAB3CE,#7B5E67,#EAB3CE,#EAB3CE,#E9ECF0,#C0DCDA,#A47FC8,#583652,#A47FC8,#A47FC8,#C0DCDA
8399,#A1372F,#99D2D9,#39512E,#68B366,#68B366,#A1372F,#6E1F26,#6486AC,#0D3B34,#3C8D95,#3C8D95,#6E1F26
8400,#5260B8,#F0B370,#D7DE72,#D7DE72,#D7DE72,#5260B8,#454074,#C37641,#B6AB53,#B6AB53,#B6AB53,#454074
8401,#D7DE72,#EAB3CE,#FFE1BB,#EAB3CE,#EAB3CE,#D7DE72,#B6AB53,#A47FC8,#F7B39E,#A47FC8,#A47FC8,#B6AB53
8402,#68b366,#ffebd9,#ffebd9,#a1372f,#a1372f,#68b366,#258b76,#ffbebe,#ffbebe,#702111,#702111,#258b76
8403,#eab3ce,#a1372f,#ffe1bb,#e9ecf0,#e9ecf0,#eab3ce,#d78bce,#702111,#f7b39e,#c3b7d9,#c3b7d9,#d78bce
8404,#99d2d9,#f0b370,#f0b370,#3e3638,#3e3638,#99d2d9,#8fa8e0,#c37641,#c37641,#30101f,#30101f,#8fa8e0
8405,#6c3875,#ffebd9,#ffebd9,#6c3875,#6c3875,#6c3875,#511960,#ffbebe,#ffbebe,#511960,#511960,#511960
8406,#3e3638,#99d2d9,#ffe7cb,#3e3638,#3e3638,#3e3638,#30101f,#8fa8e0,#fabbad,#30101f,#30101f,#30101f
8407,#e9ecf0,#6c3875,#ffebd9,#6c3875,#6c3875,#e9ecf0,#c3b7d9,#511960,#ffbebe,#511960,#511960,#c3b7d9
8408,#A1372F,#3E3638,#25B4C6,#99D2D9,#99D2D9,#A1372F,#6E1F26,#291A25,#4B70A5,#6486AC,#6486AC,#6E1F26
8409,#5260B8,#FFEBD9,#735869,#EAB3CE,#EAB3CE,#5260B8,#454074,#FFBEBE,#4B2E50,#A47FC8,#A47FC8,#454074
8410,#d7de72,#ffe1bb,#ffe1bb,#68b366,#68b366,#d7de72,#e3ae6c,#f7b39e,#f7b39e,#258b76,#258b76,#e3ae6c
8411,#68b366,#5260b8,#ffe7cb,#d7de72,#d7de72,#68b366,#258b76,#4f408d,#fabbad,#e3ae6c,#e3ae6c,#258b76
8412,#eab3ce,#d7de72,#f0b370,#5260b8,#5260b8,#eab3ce,#d78bce,#e3ae6c,#c37641,#4f408d,#4f408d,#d78bce
8413,#99D2D9,#68B366,#546B77,#A1372F,#A1372F,#99D2D9,#6486AC,#3C8D95,#2A435A,#6E1F26,#6E1F26,#6486AC
8414,#6c3875,#eab3ce,#ffebd9,#e9ecf0,#e9ecf0,#6c3875,#511960,#d78bce,#ffbebe,#c3b7d9,#c3b7d9,#511960
8415,#3E3638,#99D2D9,#8E7C7C,#3E3638,#3E3638,#3E3638,#291A25,#6486AC,#705B67,#291A25,#291A25,#291A25
8416,#e9ecf0,#6c3875,#ffebd9,#e9ecf0,#e9ecf0,#e9ecf0,#c3b7d9,#511960,#ffbebe,#c3b7d9,#c3b7d9,#c3b7d9
8417,#a1372f,#ffe1bb,#ffe1bb,#a1372f,#a1372f,#a1372f,#702111,#f7b39e,#f7b39e,#702111,#702111,#702111
8418,#5260B8,#FFEBD9,#FFEBD9,#FF8E57,#5260B8,#5260B8,#454074,#FFBEBE,#FFBEBE,#D15B48,#454074,#454074
8419,#D7DE72,#A1842F,#FFEBD9,#D7DE72,#D7DE72,#D7DE72,#B6AB53,#734F22,#FFBEBE,#B6AB53,#B6AB53,#B6AB53
8420,#68B366,#5260B8,#FFE1BB,#5260B8,#68B366,#68B366,#3C8D95,#454074,#F7B39E,#454074,#3C8D95,#3C8D95
8421,#eab3ce,#f0b370,#f0b370,#eab3ce,#eab3ce,#eab3ce,#d78bce,#c37641,#c37641,#d78bce,#d78bce,#d78bce
8422,#99D2D9,#FFE7CB,#FFE7CB,#FF8B37,#99D2D9,#99D2D9,#6486AC,#FABBAD,#FABBAD,#D15534,#6486AC,#6486AC
8423,#6c3875,#eab3ce,#ffe7cb,#6c3875,#6c3875,#6c3875,#511960,#d78bce,#fabbad,#511960,#511960,#511960
8424,#3e3638,#f0b370,#f0b370,#6c3875,#6c3875,#3e3638,#30101f,#c37641,#c37641,#511960,#511960,#30101f
8425,#E9ECF0,#FFE7CB,#99D2D9,#99D2D9,#99D2D9,#E9ECF0,#C0DCDA,#FABBAD,#6486AC,#6486AC,#6486AC,#C0DCDA
8426,#A1372F,#5260B8,#7B5E6B,#EAB3CE,#EAB3CE,#A1372F,#6E1F26,#454074,#573657,#A47FC8,#A47FC8,#6E1F26
8427,#5260B8,#FFEBD9,#355A34,#68B366,#68B366,#5260B8,#454074,#FFBEBE,#183A3D,#3C8D95,#3C8D95,#454074
8428,#D7DE72,#68B366,#FFE7CB,#47B325,#D7DE72,#D7DE72,#B6AB53,#3C8D95,#FABBAD,#288572,#B6AB53,#B6AB53
8429,#68b366,#eab3ce,#ffe7cb,#5260b8,#5260b8,#68b366,#258b76,#d78bce,#fabbad,#4f408d,#4f408d,#258b76
8430,#EAB3CE,#99D2D9,#441418,#A1372F,#A1372F,#EAB3CE,#A47FC8,#6486AC,#250809,#6E1F26,#6E1F26,#A47FC8
8431,#99d2d9,#ffe7cb,#ffe7cb,#e9ecf0,#e9ecf0,#99d2d9,#8fa8e0,#fabbad,#fabbad,#c3b7d9,#c3b7d9,#8fa8e0
8432,#6C3875,#3E3638,#A378AA,#3E3638,#3E3638,#6C3875,#2C1A53,#291A25,#5D4988,#291A25,#291A25,#2C1A53
8433,#3e3638,#a1372f,#ffe1bb,#3e3638,#3e3638,#3e3638,#30101f,#702111,#f7b39e,#30101f,#30101f,#30101f
8434,#E9ECF0,#FFEBD9,#535455,#E9ECF0,#E9ECF0,#E9ECF0,#C0DCDA,#FFBEBE,#324845,#C0DCDA,#C0DCDA,#C0DCDA
8435,#A1372F,#D7DE72,#542D19,#6C3875,#6C3875,#A1372F,#6E1F26,#B6AB53,#3E0E09,#2C1A53,#2C1A53,#6E1F26
8436,#5260B8,#68B366,#F0B370,#3B5933,#194D17,#5260B8,#454074,#3C8D95,#C37641,#133E3D,#0B230D,#454074
8437,#D7DE72,#EAB3CE,#EA7ED1,#EAB3CE,#EAB3CE,#D7DE72,#B6AB53,#A47FC8,#A24BC8,#A47FC8,#A47FC8,#B6AB53
8438,#68B366,#99D2D9,#FFE7CB,#42D9D4,#68B366,#68B366,#3C8D95,#6486AC,#FABBAD,#7292B8,#3C8D95,#3C8D95
8439,#EAB3CE,#6C3875,#DEDD30,#D7DE72,#D7DE72,#EAB3CE,#A47FC8,#2C1A53,#D2B24B,#B6AB53,#B6AB53,#A47FC8
8440,#5C4E1E,#3E3638,#3E3CB8,#5260B8,#5260B8,#3E1918,#46440F,#291A25,#3E3073,#454074,#454074,#25070B
8441,#6C3875,#E9ECF0,#5B1A28,#A1372F,#A1372F,#6C3875,#2C1A53,#C0DCDA,#1F0A12,#6E1F26,#6E1F26,#2C1A53
8442,#3e3638,#ffebd9,#ffebd9,#e9ecf0,#e9ecf0,#3e3638,#30101f,#ffbebe,#ffbebe,#c3b7d9,#c3b7d9,#30101f
8443,#e9ecf0,#d7de72,#ffe7cb,#3e3638,#3e3638,#e9ecf0,#c3b7d9,#e3ae6c,#fabbad,#30101f,#30101f,#c3b7d9
8444,#A1372F,#FFE1BB,#FFE1BB,#759CA1,#A1372F,#A1372F,#6E1F26,#F7B39E,#F7B39E,#555E88,#6E1F26,#6E1F26
8445,#5260b8,#eab3ce,#ffe7cb,#5260b8,#5260b8,#5260b8,#4f408d,#d78bce,#fabbad,#4f408d,#4f408d,#4f408d
8446,#D7DE72,#D7DE72,#FFEBD9,#6C3875,#6C3875,#D7DE72,#B6AB53,#B6AB53,#FFBEBE,#2C1A53,#2C1A53,#B6AB53
8447,#68B366,#F0B370,#2B4C2C,#99D2D9,#99D2D9,#68B366,#3C8D95,#C37641,#133422,#6486AC,#6486AC,#3C8D95
8448,#eab3ce,#ffebd9,#ffebd9,#eab3ce,#eab3ce,#eab3ce,#d78bce,#ffbebe,#ffbebe,#d78bce,#d78bce,#d78bce
8449,#99D2D9,#E9ECF0,#32912F,#68B366,#68B366,#99D2D9,#6486AC,#C0DCDA,#28565E,#3C8D95,#3C8D95,#6486AC
8450,#6C3875,#FFE7CB,#BBC528,#D7DE72,#D7DE72,#6C3875,#2C1A53,#FABBAD,#B5A340,#B6AB53,#B6AB53,#2C1A53
8451,#3E3638,#8A93BC,#FFE1BB,#5260B8,#5260B8,#3E3638,#291A25,#43679B,#F7B39E,#454074,#454074,#291A25
8452,#E9ECF0,#68B366,#757779,#A1372F,#A1372F,#E9ECF0,#C0DCDA,#3C8D95,#454B5C,#6E1F26,#6E1F26,#C0DCDA
8453,#a1372f,#ffe1bb,#ffe1bb,#e9ecf0,#e9ecf0,#a1372f,#702111,#f7b39e,#f7b39e,#c3b7d9,#c3b7d9,#702111
8454,#5260b8,#f0b370,#f0b370,#3e3638,#3e3638,#5260b8,#4f408d,#c37641,#c37641,#30101f,#30101f,#4f408d
8455,#d7de72,#6c3875,#f0b370,#d7de72,#d7de72,#d7de72,#e3ae6c,#511960,#c37641,#e3ae6c,#e3ae6c,#e3ae6c
8456,#68B366,#3E3638,#2F4628,#68B366,#68B366,#68B366,#3C8D95,#291A25,#0A2F2D,#3C8D95,#3C8D95,#3C8D95
8457,#EAB3CE,#E9ECF0,#4E1531,#6C3875,#6C3875,#EAB3CE,#A47FC8,#C0DCDA,#000000,#2C1A53,#2C1A53,#A47FC8
8458,#99d2d9,#a1372f,#ffebd9,#99d2d9,#99d2d9,#99d2d9,#8fa8e0,#702111,#ffbebe,#8fa8e0,#8fa8e0,#8fa8e0
8459,#6c3875,#5260b8,#ffe1bb,#eab3ce,#eab3ce,#6c3875,#511960,#4f408d,#f7b39e,#d78bce,#d78bce,#511960
8460,#3e3638,#68b366,#ffebd9,#68b366,#68b366,#3e3638,#30101f,#258b76,#ffbebe,#258b76,#258b76,#30101f
8461,#e9ecf0,#eab3ce,#f0b370,#d7de72,#d7de72,#e9ecf0,#c3b7d9,#d78bce,#c37641,#e3ae6c,#e3ae6c,#c3b7d9
8462,#A1372F,#99D2D9,#433AB8,#5260B8,#5260B8,#A1372F,#6E1F26,#6486AC,#312E7D,#454074,#454074,#6E1F26
8463,#5260B8,#F0B370,#4C161C,#A1372F,#A1372F,#5260B8,#454074,#C37641,#2D0A0C,#6E1F26,#6E1F26,#454074
8464,#D7DE72,#3E3638,#7E7F82,#E9ECF0,#E9ECF0,#D7DE72,#B6AB53,#291A25,#4E4C65,#C0DCDA,#C0DCDA,#B6AB53
8465,#68B366,#FFEBD9,#2F5335,#3E3638,#3E3638,#68B366,#3C8D95,#FFBEBE,#0D2D3C,#291A25,#291A25,#3C8D95
8466,#EAB3CE,#A1372F,#FFE1BB,#5F4858,#EAB3CE,#EAB3CE,#A47FC8,#6E1F26,#F7B39E,#431E4E,#A47FC8,#A47FC8
8467,#99d2d9,#f0b370,#f0b370,#99d2d9,#99d2d9,#99d2d9,#8fa8e0,#c37641,#c37641,#8fa8e0,#8fa8e0,#8fa8e0
8468,#6c3875,#d7de72,#ffe7cb,#6c3875,#6c3875,#6c3875,#511960,#e3ae6c,#fabbad,#511960,#511960,#511960
8469,#3e3638,#f0b370,#f0b370,#99d2d9,#99d2d9,#3e3638,#30101f,#c37641,#c37641,#8fa8e0,#8fa8e0,#30101f
8470,#e9ecf0,#eab3ce,#f0b370,#eab3ce,#eab3ce,#e9ecf0,#c3b7d9,#d78bce,#c37641,#d78bce,#d78bce,#c3b7d9
8471,#A1372F,#99D2D9,#2F4C2C,#68B366,#68B366,#A1372F,#6E1F26,#6486AC,#133520,#3C8D95,#3C8D95,#6E1F26
8472,#5260b8,#f0b370,#f0b370,#d7de72,#d7de72,#5260b8,#4f408d,#c37641,#c37641,#e3ae6c,#e3ae6c,#4f408d
8473,#D7DE72,#F0B370,#68B366,#68B366,#68B366,#D7DE72,#B6AB53,#C37641,#3C8D95,#3C8D95,#3C8D95,#B6AB53
8474,#68B366,#F0B370,#691F2F,#A1372F,#A1372F,#68B366,#3C8D95,#C37641,#2D0E1A,#6E1F26,#6E1F26,#3C8D95
8475,#eab3ce,#a1372f,#ffe1bb,#e9ecf0,#e9ecf0,#eab3ce,#d78bce,#702111,#f7b39e,#c3b7d9,#c3b7d9,#d78bce
8476,#99D2D9,#A8DDEE,#847376,#3E3638,#3E3638,#99D2D9,#6486AC,#708EC0,#62485A,#291A25,#291A25,#6486AC
8477,#6C3875,#D7DE72,#C9AFCD,#6C3875,#6C3875,#6C3875,#2C1A53,#B6AB53,#8273A0,#2C1A53,#2C1A53,#2C1A53
8478,#3e3638,#ffebd9,#ffebd9,#3e3638,#3e3638,#3e3638,#30101f,#ffbebe,#ffbebe,#30101f,#30101f,#30101f
8479,#e9ecf0,#6c3875,#ffe7cb,#6c3875,#6c3875,#e9ecf0,#c3b7d9,#511960,#fabbad,#511960,#511960,#c3b7d9
8480,#a1372f,#3e3638,#ffebd9,#99d2d9,#99d2d9,#a1372f,#702111,#30101f,#ffbebe,#8fa8e0,#8fa8e0,#702111
8481,#5260b8,#e9ecf0,#f0b370,#eab3ce,#eab3ce,#5260b8,#4f408d,#c3b7d9,#c37641,#d78bce,#d78bce,#4f408d
8482,#D7DE72,#FFE7CB,#325530,#68B366,#68B366,#D7DE72,#B6AB53,#FABBAD,#13393D,#3C8D95,#3C8D95,#B6AB53
8483,#68B366,#5260B8,#2E4D2C,#D7DE72,#D7DE72,#68B366,#3C8D95,#454074,#133521,#B6AB53,#B6AB53,#3C8D95
8484,#EAB3CE,#FFEBD9,#2F2A5D,#5260B8,#5260B8,#EAB3CE,#A47FC8,#FFBEBE,#1C1922,#454074,#454074,#A47FC8
8485,#99D2D9,#68B366,#411319,#A1372F,#A1372F,#99D2D9,#6486AC,#3C8D95,#220809,#6E1F26,#6E1F26,#6486AC
8486,#6C3875,#EAB3CE,#EA79CF,#E9ECF0,#E9ECF0,#6C3875,#2C1A53,#A47FC8,#A246C8,#C0DCDA,#C0DCDA,#2C1A53
8487,#3E3638,#FFEBD9,#FFEBD9,#F3AC6C,#3E3638,#3E3638,#291A25,#FFBEBE,#FFBEBE,#C87044,#291A25,#291A25
8488,#e9ecf0,#ffe1bb,#ffe1bb,#e9ecf0,#e9ecf0,#e9ecf0,#c3b7d9,#f7b39e,#f7b39e,#c3b7d9,#c3b7d9,#c3b7d9
8489,#A1372F,#3E3638,#4A1621,#A1372F,#A1372F,#A1372F,#6E1F26,#291A25,#2B0A0E,#6E1F26,#6E1F26,#6E1F26
8490,#5260B8,#E9ECF0,#F0B370,#B7B82F,#5260B8,#5260B8,#454074,#C0DCDA,#C37641,#4F8936,#454074,#454074
8491,#d7de72,#f0b370,#f0b370,#d7de72,#d7de72,#d7de72,#e3ae6c,#c37641,#c37641,#e3ae6c,#e3ae6c,#e3ae6c
8492,#99A7D1,#FFEBD9,#A37E4E,#233549,#5C5DD1,#4A3C2A,#6194AF,#FFBEBE,#874233,#354345,#5C4D8D,#391415
8493,#EAB3CE,#D7DE72,#FFEBD9,#FFAB69,#EAB3CE,#EAB3CE,#A47FC8,#B6AB53,#FFBEBE,#D1714A,#A47FC8,#A47FC8
8494,#99d2d9,#68b366,#ffe7cb,#99d2d9,#99d2d9,#99d2d9,#8fa8e0,#258b76,#fabbad,#8fa8e0,#8fa8e0,#8fa8e0
8495,#6C3875,#EAB3CE,#681E75,#6C3875,#6C3875,#6C3875,#2C1A53,#A47FC8,#2A183E,#2C1A53,#2C1A53,#2C1A53
8496,#3E3638,#E9ECF0,#5F1C75,#6C3875,#6C3875,#3E3638,#291A25,#C0DCDA,#26173F,#2C1A53,#2C1A53,#291A25
8497,#e9ecf0,#f0b370,#f0b370,#99d2d9,#99d2d9,#e9ecf0,#c3b7d9,#c37641,#c37641,#8fa8e0,#8fa8e0,#c3b7d9
8498,#a1372f,#ffebd9,#ffebd9,#eab3ce,#eab3ce,#a1372f,#702111,#ffbebe,#ffbebe,#d78bce,#d78bce,#702111
8499,#5260B8,#D7DE72,#5AB334,#68B366,#68B366,#5260B8,#454074,#B6AB53,#317E7A,#3C8D95,#3C8D95,#454074
8500,#d7de72,#ffe1bb,#ffe1bb,#d7de72,#d7de72,#d7de72,#e3ae6c,#f7b39e,#f7b39e,#e3ae6c,#e3ae6c,#e3ae6c
8501,#68b366,#ffe1bb,#ffe1bb,#5260b8,#5260b8,#68b366,#258b76,#f7b39e,#f7b39e,#4f408d,#4f408d,#258b76
8502,#EAB3CE,#99D2D9,#45353C,#A1372F,#A1372F,#EAB3CE,#A47FC8,#6486AC,#2A1522,#6E1F26,#6E1F26,#A47FC8
8503,#99D2D9,#6C3875,#54145F,#E9ECF0,#E9ECF0,#99D2D9,#6486AC,#2C1A53,#190C21,#C0DCDA,#C0DCDA,#6486AC
8504,#6c3875,#3e3638,#ffebd9,#3e3638,#3e3638,#6c3875,#511960,#30101f,#ffbebe,#30101f,#30101f,#511960
8505,#3e3638,#a1372f,#ffe1bb,#3e3638,#3e3638,#3e3638,#30101f,#702111,#f7b39e,#30101f,#30101f,#30101f
8506,#E9ECF0,#FFEBD9,#FFEBD9,#F0B46B,#E9ECF0,#E9ECF0,#C0DCDA,#FFBEBE,#FFBEBE,#C57844,#C0DCDA,#C0DCDA
8507,#a1372f,#ffe1bb,#ffe1bb,#6c3875,#6c3875,#a1372f,#702111,#f7b39e,#f7b39e,#511960,#511960,#702111
8508,#5260B8,#FFEBD9,#243350,#50321F,#B89B65,#5260B8,#454074,#FFBEBE,#212128,#39140E,#9A5E44,#454074
8509,#d7de72,#f0b370,#f0b370,#eab3ce,#eab3ce,#d7de72,#e3ae6c,#c37641,#c37641,#d78bce,#d78bce,#e3ae6c
8510,#68B366,#99D2D9,#FFE1BB,#23D9D3,#68B366,#68B366,#3C8D95,#6486AC,#F7B39E,#5884B8,#3C8D95,#3C8D95
8511,#eab3ce,#6c3875,#ffe7cb,#d7de72,#d7de72,#eab3ce,#d78bce,#511960,#fabbad,#e3ae6c,#e3ae6c,#d78bce
8512,#99D2D9,#3E3638,#F0B370,#77152D,#D9394A,#99D2D9,#6486AC,#291A25,#C37641,#230B19,#8E2B58,#6486AC
8513,#6c3875,#f0b370,#f0b370,#a1372f,#a1372f,#6c3875,#511960,#c37641,#c37641,#702111,#702111,#511960
8514,#3E3638,#FFEBD9,#907D7F,#E9ECF0,#E9ECF0,#3E3638,#291A25,#FFBEBE,#725C6A,#C0DCDA,#C0DCDA,#291A25
8515,#E9ECF0,#FFE1BB,#84737A,#3E3638,#3E3638,#E9ECF0,#C0DCDA,#F7B39E,#624760,#291A25,#291A25,#C0DCDA
8516,#a1372f,#68b366,#ffe1bb,#a1372f,#a1372f,#a1372f,#702111,#258b76,#f7b39e,#702111,#702111,#702111
8517,#5260b8,#eab3ce,#f0b370,#5260b8,#5260b8,#5260b8,#4f408d,#d78bce,#c37641,#4f408d,#4f408d,#4f408d
8518,#d7de72,#ffebd9,#ffebd9,#6c3875,#6c3875,#d7de72,#e3ae6c,#ffbebe,#ffbebe,#511960,#511960,#e3ae6c
8519,#68b366,#6c3875,#ffe1bb,#99d2d9,#99d2d9,#68b366,#258b76,#511960,#f7b39e,#8fa8e0,#8fa8e0,#258b76
8520,#eab3ce,#3e3638,#ffebd9,#eab3ce,#eab3ce,#eab3ce,#d78bce,#30101f,#ffbebe,#d78bce,#d78bce,#d78bce
